city_name,number,lat,lon,temp,humidity,wind_speed,clouds
dzhebariki-khaya,518,62.22,135.8,25.81,36,3.47,88
kuito,519,-12.38,16.94,9.11,35,2.32,0
lyuban,520,52.8,28,11.31,88,0.76,6
deneysville,521,-26.89,28.1,6.51,35,3.89,0
khartoum,522,15.59,32.54,28,58,5.1,0
susanville,523,40.42,-120.65,24.3,21,4.6,1
dejen,524,10.16,38.15,15.61,95,0.73,71
saint-augustin,525,45.63,-73.98,19.82,82,1.5,75
maraa,526,-1.83,-65.37,22.71,96,1.02,1
drochia,527,48.03,27.81,12.11,92,3.5,0
saint-denis,528,48.94,2.36,11.61,81,3.1,0
albury,529,-36.08,146.92,11.71,76,4.6,75
astana,530,51.13,71.43,25,47,4,0
jinchengjiang,531,,,,,,
port elizabeth,532,39.31,-74.98,22.37,73,2.6,1
vitorino freire,533,-4.04,-45.24,22.21,97,1.83,8
yerofey pavlovich,534,53.97,121.97,25.11,50,1.4,24
